,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,temp_kf,id,main,description,icon,speed,deg,gust,dt,dt_txt,clouds,visibility,day
0,-4.29,-6.93,-4.76,-4.29,1035,1035,1017,71,0.47,800,Clear,clear sky,01d,1.66,141,1.85,1704898800,2024-01-10 15:00:00,0,10000,10
1,-4.69,-4.69,-5.49,-4.69,1034,1034,1016,70,0.8,800,Clear,clear sky,01n,0.93,159,0.95,1704909600,2024-01-10 18:00:00,0,10000,10
2,-5.16,-5.16,-5.6,-5.16,1033,1033,1016,67,0.44,800,Clear,clear sky,01n,1.12,243,1.07,1704920400,2024-01-10 21:00:00,2,10000,10
3,-5.55,-9.19,-5.55,-5.55,1031,1031,1015,63,0.0,800,Clear,clear sky,01n,2.19,267,2.41,1704931200,2024-01-11 00:00:00,3,10000,11
4,-5.12,-9.6,-5.12,-5.12,1030,1030,1015,61,0.0,800,Clear,clear sky,01n,2.95,273,5.37,1704942000,2024-01-11 03:00:00,1,10000,11
5,-4.77,-9.59,-4.77,-4.77,1029,1029,1014,55,0.0,800,Clear,clear sky,01n,3.36,282,8.16,1704952800,2024-01-11 06:00:00,3,10000,11
6,-2.55,-7.91,-2.55,-2.55,1028,1028,1013,47,0.0,803,Clouds,broken clouds,04d,4.7,287,11.11,1704963600,2024-01-11 09:00:00,66,10000,11
7,-0.13,-5.69,-0.13,-0.13,1027,1027,1012,50,0.0,803,Clouds,broken clouds,04d,6.15,297,12.47,1704974400,2024-01-11 12:00:00,75,10000,11
8,-1.33,-7.2,-1.33,-1.33,1027,1027,1012,68,0.0,803,Clouds,broken clouds,04d,6.11,304,11.93,1704985200,2024-01-11 15:00:00,84,10000,11
9,-1.19,-6.9,-1.19,-1.19,1028,1028,1012,87,0.0,804,Clouds,overcast clouds,04n,5.89,301,10.66,1704996000,2024-01-11 18:00:00,92,10000,11
10,-1.25,-6.75,-1.25,-1.25,1028,1028,1013,92,0.0,804,Clouds,overcast clouds,04n,5.47,296,10.04,1705006800,2024-01-11 21:00:00,100,8424,11
11,-1.15,-6.56,-1.15,-1.15,1028,1028,1013,97,0.0,600,Snow,light snow,13n,5.36,306,10.34,1705017600,2024-01-12 00:00:00,100,256,12
